"Scenario","Region","Variable","Year","Value"
"Canada Net-zero","Alberta","Bioenergy",2020,1784.7296165
"Canada Net-zero","Alberta","Bioenergy with CCUS",2020,0
"Canada Net-zero","Alberta","Coal and Coke",2020,28140.70924
"Canada Net-zero","Alberta","Hydro",2020,2431.074978
"Canada Net-zero","Alberta","Hydrogen",2020,0
"Canada Net-zero","Alberta","Natural Gas",2020,41400.15023
"Canada Net-zero","Alberta","Natural Gas with CCUS",2020,0
"Canada Net-zero","Alberta","Oil",2020,15.6585
"Canada Net-zero","Alberta","Onshore Wind",2020,5452.614523
"Canada Net-zero","Alberta","Solar (Distributed)",2020,151.1215243
"Canada Net-zero","Alberta","Solar (Utility scale)",2020,27
"Canada Net-zero","Alberta","Uranium SMR",2020,0
"Canada Net-zero","Alberta","Total",2020,79403.0586118
"Canada Net-zero","British Columbia","Bioenergy",2020,3935.20309403
"Canada Net-zero","British Columbia","Bioenergy with CCUS",2020,0
"Canada Net-zero","British Columbia","Hydro",2020,63813.67406
"Canada Net-zero","British Columbia","Natural Gas",2020,1171.403262
"Canada Net-zero","British Columbia","Natural Gas with CCUS",2020,0
"Canada Net-zero","British Columbia","Oil",2020,74.23763801
"Canada Net-zero","British Columbia","Onshore Wind",2020,3008.283925
"Canada Net-zero","British Columbia","Solar (Distributed)",2020,24.65087176
"Canada Net-zero","British Columbia","Solar (Utility scale)",2020,2.186739104
"Canada Net-zero","British Columbia","Uranium SMR",2020,0
"Canada Net-zero","British Columbia","Total",2020,72029.6395899039
"Canada Net-zero","Manitoba","Bioenergy",2020,79.9
"Canada Net-zero","Manitoba","Hydro",2020,36141.96449
"Canada Net-zero","Manitoba","Natural Gas",2020,20.92594074
"Canada Net-zero","Manitoba","Oil",2020,16.412669
"Canada Net-zero","Manitoba","Onshore Wind",2020,938.8527109
"Canada Net-zero","Manitoba","Solar (Distributed)",2020,7.457391941
"Canada Net-zero","Manitoba","Solar (Utility scale)",2020,0.892769117
"Canada Net-zero","Manitoba","Uranium SMR",2020,0
"Canada Net-zero","Manitoba","Total",2020,37206.405971698
"Canada Net-zero","New Brunswick","Bioenergy",2020,561.5496
"Canada Net-zero","New Brunswick","Coal and Coke",2020,1171.178491
"Canada Net-zero","New Brunswick","Hydro",2020,2571.990183
"Canada Net-zero","New Brunswick","Natural Gas",2020,1347.390962
"Canada Net-zero","New Brunswick","Oil",2020,40.706376069
"Canada Net-zero","New Brunswick","Onshore Wind",2020,903.0197142
"Canada Net-zero","New Brunswick","Solar (Distributed)",2020,1.395795282
"Canada Net-zero","New Brunswick","Solar (Utility scale)",2020,0.258502094
"Canada Net-zero","New Brunswick","Uranium",2020,4800.479073
"Canada Net-zero","New Brunswick","Uranium SMR",2020,0
"Canada Net-zero","New Brunswick","Total",2020,11397.968696645
"Canada Net-zero","Newfoundland and Labrador","Hydro",2020,38146.82799
"Canada Net-zero","Newfoundland and Labrador","Natural Gas",2020,250.4058561
"Canada Net-zero","Newfoundland and Labrador","Oil",2020,868.53145
"Canada Net-zero","Newfoundland and Labrador","Onshore Wind",2020,194.4986979
"Canada Net-zero","Newfoundland and Labrador","Solar (Distributed)",2020,1.149481546
"Canada Net-zero","Newfoundland and Labrador","Solar (Utility scale)",2020,0.019396747
"Canada Net-zero","Newfoundland and Labrador","Total",2020,39461.432872293
"Canada Net-zero","Nova Scotia","Bioenergy",2020,259.3270938
"Canada Net-zero","Nova Scotia","Coal and Coke",2020,4432.635651097
"Canada Net-zero","Nova Scotia","Hydro",2020,756.1396111
"Canada Net-zero","Nova Scotia","Natural Gas",2020,1663.491806
"Canada Net-zero","Nova Scotia","Offshore Wind",2020,0
"Canada Net-zero","Nova Scotia","Oil",2020,35
"Canada Net-zero","Nova Scotia","Onshore Wind",2020,925.4455625
"Canada Net-zero","Nova Scotia","Solar (Distributed)",2020,1.325767194
"Canada Net-zero","Nova Scotia","Solar (Utility scale)",2020,0.539401307
"Canada Net-zero","Nova Scotia","Total",2020,8073.904892998
"Canada Net-zero","Northwest Territories","Hydro",2020,247.6397345
"Canada Net-zero","Northwest Territories","Natural Gas",2020,80.17787354
"Canada Net-zero","Northwest Territories","Oil",2020,35.09370547
"Canada Net-zero","Northwest Territories","Onshore Wind",2020,16.7426936
"Canada Net-zero","Northwest Territories","Solar (Distributed)",2020,0.065628919
"Canada Net-zero","Northwest Territories","Solar (Utility scale)",2020,1.712982425
"Canada Net-zero","Northwest Territories","Total",2020,381.432618454
"Canada Net-zero","Nunavut","Oil",2020,250.0273939
"Canada Net-zero","Nunavut","Onshore Wind",2020,0
"Canada Net-zero","Nunavut","Solar (Distributed)",2020,0.526082355
"Canada Net-zero","Nunavut","Solar (Utility scale)",2020,0.034400618
"Canada Net-zero","Nunavut","Total",2020,250.587876873
"Canada Net-zero","Ontario","Bioenergy",2020,1100
"Canada Net-zero","Ontario","Bioenergy with CCUS",2020,0
"Canada Net-zero","Ontario","Hydro",2020,39004.97588
"Canada Net-zero","Ontario","Natural Gas",2020,11039.35575
"Canada Net-zero","Ontario","Natural Gas with CCUS",2020,0
"Canada Net-zero","Ontario","Oil",2020,85.07274
"Canada Net-zero","Ontario","Onshore Wind",2020,13168.79678
"Canada Net-zero","Ontario","Solar (Distributed)",2020,3135.804094
"Canada Net-zero","Ontario","Solar (Utility scale)",2020,2500.395514
"Canada Net-zero","Ontario","Uranium",2020,87845.32544
"Canada Net-zero","Ontario","Uranium SMR",2020,0
"Canada Net-zero","Ontario","Total",2020,157879.726198
"Canada Net-zero","Prince Edward Island","Bioenergy",2020,1.51460529
"Canada Net-zero","Prince Edward Island","Oil",2020,4.54341999999999
"Canada Net-zero","Prince Edward Island","Onshore Wind",2020,700.3405113
"Canada Net-zero","Prince Edward Island","Solar (Distributed)",2020,0.678037409
"Canada Net-zero","Prince Edward Island","Solar (Utility scale)",2020,0
"Canada Net-zero","Prince Edward Island","Uranium SMR",2020,0
"Canada Net-zero","Prince Edward Island","Total",2020,707.076573999
"Canada Net-zero","Quebec","Bioenergy",2020,1309.409371
"Canada Net-zero","Quebec","Hydro",2020,194227.4217
"Canada Net-zero","Quebec","Natural Gas",2020,86.55097888
"Canada Net-zero","Quebec","Oil",2020,556.76228
"Canada Net-zero","Quebec","Onshore Wind",2020,11322.93233
"Canada Net-zero","Quebec","Solar (Distributed)",2020,29.13705025
"Canada Net-zero","Quebec","Solar (Utility scale)",2020,1.397480685
"Canada Net-zero","Quebec","Uranium SMR",2020,0
"Canada Net-zero","Quebec","Total",2020,207533.611190815
"Canada Net-zero","Saskatchewan","Bioenergy",2020,109.2505853
"Canada Net-zero","Saskatchewan","Bioenergy with CCUS",2020,0
"Canada Net-zero","Saskatchewan","Coal and Coke",2020,7463.962609
"Canada Net-zero","Saskatchewan","Coal with CCUS",2020,705.18
"Canada Net-zero","Saskatchewan","Hydro",2020,3389.167165
"Canada Net-zero","Saskatchewan","Natural Gas",2020,10914.03107
"Canada Net-zero","Saskatchewan","Natural Gas with CCUS",2020,0
"Canada Net-zero","Saskatchewan","Oil",2020,1.019664
"Canada Net-zero","Saskatchewan","Onshore Wind",2020,821.4689656
"Canada Net-zero","Saskatchewan","Solar (Distributed)",2020,31.0752283
"Canada Net-zero","Saskatchewan","Solar (Utility scale)",2020,0.954071844
"Canada Net-zero","Saskatchewan","Uranium SMR",2020,0
"Canada Net-zero","Saskatchewan","Total",2020,23436.109359044
"Canada Net-zero","Yukon","Bioenergy",2020,0.244211757
"Canada Net-zero","Yukon","Hydro",2020,438.4084069
"Canada Net-zero","Yukon","Natural Gas",2020,63.61556193
"Canada Net-zero","Yukon","Oil",2020,75.33162
"Canada Net-zero","Yukon","Onshore Wind",2020,1.076967333
"Canada Net-zero","Yukon","Solar (Distributed)",2020,0.060394757
"Canada Net-zero","Yukon","Solar (Utility scale)",2020,0.061531958
"Canada Net-zero","Yukon","Total",2020,578.798694635
"Current Measures","Alberta","Bioenergy",2020,1784.7296165
"Current Measures","Alberta","Coal and Coke",2020,28140.70924
"Current Measures","Alberta","Hydro",2020,2431.074978
"Current Measures","Alberta","Natural Gas",2020,41400.15023
"Current Measures","Alberta","Oil",2020,15.6585
"Current Measures","Alberta","Onshore Wind",2020,5452.614523
"Current Measures","Alberta","Solar (Distributed)",2020,151.1215243
