"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Total primary and secondary energy","Exports","Terajoules","283","units","0","v1206136787","1.1.2","1237046","","","","0"
"2020-01","Canada","2016A000011124","Total primary and secondary energy","Imports","Terajoules","283","units","0","v1206136788","1.1.3","413752","","","","0"
"2020-01","Canada","2016A000011124","Total primary and secondary energy","Stock variation","Terajoules","283","units","0","v1206136789","1.1.4","29642","","","","0"
"2020-01","Canada","2016A000011124","Total primary and secondary energy","Inter-product transfers","Terajoules","283","units","0","v1206136790","1.1.5","0","","","","0"
"2020-01","Canada","2016A000011124","Total primary and secondary energy","Other adjustments","Terajoules","283","units","0","v1206136791","1.1.6","89677","","","","0"
"2020-01","Canada","2016A000011124","Total primary and secondary energy","Transformed to electricity","Terajoules","283","units","0","v1206136792","1.1.8","125622","","","","0"
"2020-01","Canada","2016A000011124","Total primary and secondary energy","Transformed to coke","Terajoules","283","units","0","v1206136793","1.1.9","6951","","","","0"
"2020-01","Canada","2016A000011124","Total primary and secondary energy","Transformed to refined petroleum products","Terajoules","283","units","0","v1206136794","1.1.10","366108","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Production","Terajoules","283","units","0","v1206136795","1.2.1","1929661","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Exports","Terajoules","283","units","0","v1206136796","1.2.2","1140082","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Imports","Terajoules","283","units","0","v1206136797","1.2.3","368145","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Stock variation","Terajoules","283","units","0","v1206136798","1.2.4","-3899","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Inter-product transfers","Terajoules","283","units","0","v1206136799","1.2.5","5014","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Other adjustments","Terajoules","283","units","0","v1206136800","1.2.6","89677","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Availability","Terajoules","283","units","0","v1206136801","1.2.7","1197215","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Transformed to electricity","Terajoules","283","units","0","v1206136802","1.2.8","119294","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Transformed to coke","Terajoules","283","units","0","v1206136803","1.2.9","6951","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Transformed to refined petroleum products","Terajoules","283","units","0","v1206136804","1.2.10","366108","","","","0"
"2020-01","Canada","2016A000011124","Primary energy","Net supply","Terajoules","283","units","0","v1206136805","1.2.11","714277","","","","0"
"2020-01","Canada","2016A000011124","Coal","Production","Terajoules","283","units","0","v1206136806","1.3.1","89798","","","","0"
"2020-01","Canada","2016A000011124","Coal","Exports","Terajoules","283","units","0","v1206136807","1.3.2","62050","","","","0"
"2020-01","Canada","2016A000011124","Coal","Imports","Terajoules","283","units","0","v1206136808","1.3.3","7696","","","","0"
"2020-01","Canada","2016A000011124","Coal","Stock variation","Terajoules","283","units","0","v1206136809","1.3.4","-13219","","","","0"
"2020-01","Canada","2016A000011124","Coal","Inter-product transfers","Terajoules","283","units","0","v1275476811","1.3.5","0","","","","0"
"2020-01","Canada","2016A000011124","Coal","Other adjustments","Terajoules","283","units","0","v1206136810","1.3.6","-7160","","","","0"
"2020-01","Canada","2016A000011124","Coal","Availability","Terajoules","283","units","0","v1206136811","1.3.7","41502","","","","0"
"2020-01","Canada","2016A000011124","Coal","Transformed to electricity","Terajoules","283","units","0","v1206136812","1.3.8","34329","","","","0"
"2020-01","Canada","2016A000011124","Coal","Transformed to coke","Terajoules","283","units","0","v1206136813","1.3.9","6951","","","","0"
"2020-01","Canada","2016A000011124","Coal","Net supply","Terajoules","283","units","0","v1206136814","1.3.11","222","","","","0"
"2020-01","Canada","2016A000011124","Crude oil","Production","Terajoules","283","units","0","v1206136815","1.4.1","930113","","","","0"
"2020-01","Canada","2016A000011124","Crude oil","Exports","Terajoules","283","units","0","v1206136816","1.4.2","767057","","","","0"
"2020-01","Canada","2016A000011124","Crude oil","Imports","Terajoules","283","units","0","v1206136817","1.4.3","216071","","","","0"
"2020-01","Canada","2016A000011124","Crude oil","Stock variation","Terajoules","283","units","0","v1206136818","1.4.4","126310","","","","0"
"2020-01","Canada","2016A000011124","Crude oil","Inter-product transfers","Terajoules","283","units","0","v1275476812","1.4.5","0","","","","0"
"2020-01","Canada","2016A000011124","Crude oil","Other adjustments","Terajoules","283","units","0","v1206136819","1.4.6","96521","","","","0"
"2020-01","Canada","2016A000011124","Crude oil","Availability","Terajoules","283","units","0","v1206136820","1.4.7","349338","","","","0"
"2020-01","Canada","2016A000011124","Crude oil","Transformed to refined petroleum products","Terajoules","283","units","0","v1206136821","1.4.10","349338","","","","0"
"2020-01","Canada","2016A000011124","Crude oil","Net supply","Terajoules","283","units","0","v1206136822","1.4.11","0","","","","0"
"2020-01","Canada","2016A000011124","Natural gas","Production","Terajoules","283","units","0","v1206136823","1.5.1","646595","","","","0"
"2020-01","Canada","2016A000011124","Natural gas","Exports","Terajoules","283","units","0","v1206136824","1.5.2","261648","","","","0"
"2020-01","Canada","2016A000011124","Natural gas","Imports","Terajoules","283","units","0","v1206136825","1.5.3","128659","","","","0"
"2020-01","Canada","2016A000011124","Natural gas","Stock variation","Terajoules","283","units","0","v1206136826","1.5.4","-117412","","","","0"
"2020-01","Canada","2016A000011124","Natural gas","Inter-product transfers","Terajoules","283","units","0","v1275476813","1.5.5","0","","","","0"
"2020-01","Canada","2016A000011124","Natural gas","Other adjustments","Terajoules","283","units","0","v1206136827","1.5.6","0","","","","0"
