"year","prov","sector","scenario","emissions"
2005,"AB","Electricity","2022 Additional Measures Scenario",0
2005,"AB","Electricity","2022 Reference Case",0
2005,"AB","Electricity","NIR 2022",47.7
2005,"BC","Electricity","2022 Additional Measures Scenario",0
2005,"BC","Electricity","2022 Reference Case",0
2005,"BC","Electricity","NIR 2022",1
2005,"Canada","Electricity","2022 Additional Measures Scenario",0
2005,"Canada","Electricity","2022 Reference Case",0
2005,"Canada","Electricity","NIR 2022",117.5
2005,"MB","Electricity","2022 Additional Measures Scenario",0
2005,"MB","Electricity","2022 Reference Case",0
2005,"MB","Electricity","NIR 2022",0.4
2005,"ATL","Electricity","2022 Additional Measures Scenario",0
2005,"ATL","Electricity","2022 Reference Case",0
2005,"ATL","Electricity","NIR 2022",19.4
2005,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2005,"Northwest Territories","Electricity","2022 Reference Case",0
2005,"Northwest Territories","Electricity","NIR 2022",0
2005,"ON","Electricity","2022 Additional Measures Scenario",0
2005,"ON","Electricity","2022 Reference Case",0
2005,"ON","Electricity","NIR 2022",33.9
2005,"QC","Electricity","2022 Additional Measures Scenario",0
2005,"QC","Electricity","2022 Reference Case",0
2005,"QC","Electricity","NIR 2022",0.6
2005,"SK","Electricity","2022 Additional Measures Scenario",0
2005,"SK","Electricity","2022 Reference Case",0
2005,"SK","Electricity","NIR 2022",14.3
2006,"AB","Electricity","2022 Additional Measures Scenario",0
2006,"AB","Electricity","2022 Reference Case",0
2006,"AB","Electricity","NIR 2022",47.9
2006,"BC","Electricity","2022 Additional Measures Scenario",0
2006,"BC","Electricity","2022 Reference Case",0
2006,"BC","Electricity","NIR 2022",1.1
2006,"Canada","Electricity","2022 Additional Measures Scenario",0
2006,"Canada","Electricity","2022 Reference Case",0
2006,"Canada","Electricity","NIR 2022",111.6
2006,"MB","Electricity","2022 Additional Measures Scenario",0
2006,"MB","Electricity","2022 Reference Case",0
2006,"MB","Electricity","NIR 2022",0.4
2006,"ATL","Electricity","2022 Additional Measures Scenario",0
2006,"ATL","Electricity","2022 Reference Case",0
2006,"ATL","Electricity","NIR 2022",18.1
2006,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2006,"Northwest Territories","Electricity","2022 Reference Case",0
2006,"Northwest Territories","Electricity","NIR 2022",0
2006,"ON","Electricity","2022 Additional Measures Scenario",0
2006,"ON","Electricity","2022 Reference Case",0
2006,"ON","Electricity","NIR 2022",29.5
2006,"QC","Electricity","2022 Additional Measures Scenario",0
2006,"QC","Electricity","2022 Reference Case",0
2006,"QC","Electricity","NIR 2022",0.5
2006,"SK","Electricity","2022 Additional Measures Scenario",0
